Datetime,Symbol,Open,High,Low,Close,Volume
2025-06-30 23:44:00,QQQ,551.54,551.58,551.54,551.58,563.0
2025-06-30 23:45:00,QQQ,551.49,551.58,551.49,551.53,2451.0
2025-06-30 23:46:00,QQQ,551.44,551.44,551.44,551.44,249.0
2025-06-30 23:47:00,QQQ,551.5,551.5,551.4999,551.4999,366.0
2025-06-30 23:48:00,QQQ,551.5,551.5,551.5,551.5,183.0
2025-06-30 23:49:00,QQQ,551.47,551.4701,551.47,551.4701,521.0
2025-06-30 23:50:00,QQQ,551.53,551.58,551.53,551.58,2423.0
2025-06-30 23:51:00,QQQ,551.61,551.61,551.54,551.54,2603.0
2025-06-30 23:52:00,QQQ,551.5893,551.6689,551.5893,551.62,3185.0
2025-06-30 23:53:00,QQQ,551.62,551.63,551.6199,551.62,3878.0
2025-06-30 23:54:00,QQQ,551.63,551.6301,551.59,551.62,2672.0
2025-06-30 23:55:00,QQQ,551.64,551.64,551.62,551.62,6350.0
2025-06-30 23:57:00,QQQ,551.55,551.55,551.5,551.5,10036.0
2025-06-30 23:58:00,QQQ,551.4601,551.4601,551.45,551.45,5553.0
2025-06-30 23:59:00,QQQ,551.47,551.56,551.47,551.56,1905.0
2025-07-01 08:00:00,QQQ,550.56,550.75,550.56,550.63,3733.0
2025-07-01 08:01:00,QQQ,550.7,550.7,550.64,550.64,1101.0
2025-07-01 08:02:00,QQQ,550.35,550.36,550.18,550.18,1806.0
2025-07-01 08:04:00,QQQ,550.2,550.4,550.2,550.39,5634.0
2025-07-01 08:05:00,QQQ,550.31,550.31,550.3,550.31,2018.0
2025-07-01 08:06:00,QQQ,550.31,550.4,550.3,550.3,3666.0
2025-07-01 08:08:00,QQQ,550.3,550.37,550.3,550.37,2208.0
2025-07-01 08:09:00,QQQ,550.42,550.42,550.37,550.4,1515.0
2025-07-01 08:10:00,QQQ,550.5,550.5,550.47,550.48,851.0
2025-07-01 08:11:00,QQQ,550.56,550.56,550.56,550.56,806.0
2025-07-01 08:12:00,QQQ,550.45,550.45,550.44,550.44,550.0
2025-07-01 08:13:00,QQQ,550.39,550.41,550.37,550.41,1087.0
2025-07-01 08:14:00,QQQ,550.41,550.42,550.31,550.35,1731.0
2025-07-01 08:15:00,QQQ,550.4,550.41,550.38,550.41,1595.0
2025-07-01 08:16:00,QQQ,550.37,550.37,550.35,550.35,776.0
2025-07-01 08:17:00,QQQ,550.4,550.46,550.4,550.46,1359.0
2025-07-01 08:18:00,QQQ,550.41,550.41,550.41,550.41,277.0
2025-07-01 08:19:00,QQQ,550.39,550.39,550.38,550.38,441.0
2025-07-01 08:20:00,QQQ,550.38,550.38,550.37,550.38,1671.0
2025-07-01 08:21:00,QQQ,550.41,550.5,550.41,550.5,1565.0
2025-07-01 08:22:00,QQQ,550.5,550.6,550.5,550.6,1028.0
2025-07-01 08:23:00,QQQ,550.6,550.6,550.6,550.6,210.0
2025-07-01 08:24:00,QQQ,550.65,550.65,550.65,550.65,194.0
2025-07-01 08:25:00,QQQ,550.69,550.69,550.69,550.69,451.0
2025-07-01 08:27:00,QQQ,550.69,550.7,550.65,550.65,1021.0
2025-07-01 08:28:00,QQQ,550.73,550.73,550.73,550.73,420.0
2025-07-01 08:29:00,QQQ,550.71,550.81,550.7,550.81,3323.0
2025-07-01 08:30:00,QQQ,550.9,550.95,550.9,550.93,1528.0
2025-07-01 08:31:00,QQQ,550.94,550.94,550.87,550.87,1475.0
2025-07-01 08:32:00,QQQ,550.88,550.88,550.76,550.76,832.0
2025-07-01 08:33:00,QQQ,550.75,550.75,550.7,550.7,932.0
2025-07-01 08:34:00,QQQ,550.75,550.75,550.75,550.75,550.0
2025-07-01 08:35:00,QQQ,550.8,550.83,550.8,550.83,1022.0
2025-07-01 08:36:00,QQQ,550.97,550.97,550.97,550.97,657.0
2025-07-01 08:37:00,QQQ,551.01,551.05,550.86,550.86,2677.0
2025-07-01 08:38:00,QQQ,550.83,550.83,550.7,550.7,1447.0
2025-07-01 08:39:00,QQQ,550.65,550.69,550.65,550.69,972.0
2025-07-01 08:40:00,QQQ,550.7,550.7,550.7,550.7,352.0
2025-07-01 08:42:00,QQQ,550.59,550.59,550.55,550.55,1844.0
2025-07-01 08:43:00,QQQ,550.32,550.34,550.32,550.34,824.0
2025-07-01 08:44:00,QQQ,550.4,550.47,550.4,550.47,1039.0
2025-07-01 08:45:00,QQQ,550.49,550.5,550.43,550.43,870.0
2025-07-01 08:46:00,QQQ,550.47,550.47,550.46,550.46,896.0
2025-07-01 08:47:00,QQQ,550.53,550.58,550.53,550.58,807.0
2025-07-01 08:48:00,QQQ,550.54,550.54,550.54,550.54,139.0
